#,Zip Code,Location,City,Population,People / Sq. Mile,National Rank
23,38103,"35.184023, -90.077284","Memphis, Tennessee","7,675","1,023.74","#6,268"
2,38104,"35.132422, -90.004640","Memphis, Tennessee","24,727","5,030.99","#1,701"
1,38105,"35.150642, -90.033969","Memphis, Tennessee","8,976","5,247.84","#1,606"
22,38106,"35.104113, -90.090113","Memphis, Tennessee","33,784","1,247.46","#5,763"
8,38107,"35.170636, -90.022027","Memphis, Tennessee","22,109","3,915.78","#2,385"
11,38108,"35.176666, -89.967917","Memphis, Tennessee","22,237","2,808.48","#3,427"
24,38109,"35.040014, -90.163407","Memphis, Tennessee","52,401",845.91,"#6,734"
5,38111,"35.110521, -89.943501","Memphis, Tennessee","45,077","4,464.57","#2,039"
7,38112,"35.147662, -89.976392","Memphis, Tennessee","19,200","3,928.85","#2,371"
4,38114,"35.096438, -89.985644","Memphis, Tennessee","34,120","4,568.88","#1,969"
3,38115,"35.053329, -89.862806","Memphis, Tennessee","40,401","4,581.97","#1,954"
12,38116,"35.032339, -90.008916","Memphis, Tennessee","51,048","2,787.33","#3,449"
13,38117,"35.115293, -89.905382","Memphis, Tennessee","25,180","2,750.02","#3,492"
18,38118,"35.032631, -89.932532","Memphis, Tennessee","47,188","1,508.20","#5,242"
14,38119,"35.078410, -89.844431","Memphis, Tennessee","22,179","2,476.38","#3,803"
19,38120,"35.124974, -89.858293","Memphis, Tennessee","13,693","1,414.62","#5,401"
9,38122,"35.158183, -89.921806","Memphis, Tennessee","24,791","3,446.02","#2,785"
21,38125,"35.027321, -89.790249","Memphis, Tennessee","23,829","1,323.93","#5,588"
6,38126,"35.126608, -90.042212","Memphis, Tennessee","8,104","4,208.11","#2,198"
25,38127,"35.257534, -90.049395","Memphis, Tennessee","51,145",835.7,"#6,778"
17,38128,"35.226047, -89.925072","Memphis, Tennessee","44,040","1,801.90","#4,762"
28,38131,"35.065335, -89.998640","Memphis, Tennessee",1,2.17,"#30,507"
27,38132,"35.071052, -89.994613","Memphis, Tennessee",80,86.14,"#14,864"
20,38133,"35.215207, -89.787809","Memphis, Tennessee","18,937","1,346.79","#5,535"
15,38134,"35.174969, -89.859874","Memphis, Tennessee","41,765","2,262.93","#4,073"
16,38135,"35.236895, -89.854890","Memphis, Tennessee","24,623","2,125.90","#4,266"
10,38141,"35.016729, -89.858616","Memphis, Tennessee","21,922","2,827.83","#3,404"
26,38157,"35.114207, -89.891661","Memphis, Tennessee",75,434.37,"#8,581"
